,x,y,z,RMSD,Energy
0,98.81637985543725,18.681493439780073,-9.476816022340925,47.739174630784845,-0.0
1,104.54364841218889,15.35852058449382,-3.3480289523817808,50.0919404295741,-0.0
2,97.90536160095947,7.022738518211931,-1.0479276809668707,45.71042714169482,-0.0
3,99.44640714934157,7.273058442139236,-0.30242455575073457,46.60925005628737,-0.0
4,94.43766866987572,14.888654544572312,-3.983924228943765,42.022323862555766,-0.0
5,100.29320469341887,11.607397013436929,-6.668551829050806,49.05850674352779,-0.0
6,100.35011676622966,12.102295454866422,-1.5856552264310617,46.41343167405212,-0.0
7,97.95203054567892,6.000108473842227,-9.758056094198626,50.49239503416049,-0.0
8,103.5383923563018,13.667803140895632,-2.0647069195084393,48.98775525529192,-0.0
9,95.25399370140673,14.219440510448953,17.568353489990656,36.574734135674014,-0.0
10,98.55846730282676,12.687651087841735,16.444501580080022,39.7604306781791,-0.0
11,94.85466165067757,13.247437533518085,13.054293162691211,36.47481606402919,-0.0
12,99.56731570784581,12.787664576550506,19.520575897614727,40.89629437049395,-0.0
13,100.29851817608036,12.621620481689938,16.924207727925687,41.590718391075114,-0.0
14,102.14994818416633,10.838138050506798,20.875986935325535,43.9154895045993,-0.0
15,100.11671035921971,10.938615369378786,15.621300893079265,42.12332496542572,-0.0
16,97.77859770985263,16.197870378759323,14.853521833059395,38.65366780292716,-0.0
17,104.32663945966952,12.377083405122237,12.758561070536356,45.888109614583165,-0.0
18,91.52427512729179,7.925578320150611,32.30228390418635,37.50838057529213,-2.7
19,92.85261761339298,10.45720391704861,33.01129064383327,37.95697859607449,-2.5
20,92.15541110289116,11.025490253185781,32.49997260977365,36.972928484423385,-2.5
21,93.15690812686556,9.661735514846818,33.45633496537657,38.575706737345904,-2.4
22,93.8326698098074,8.199639049757588,33.884337985761,39.81695063603416,-2.3
23,93.61507382832008,12.304860020879435,33.51295394538395,38.17092693710876,-2.1
24,93.02128340736735,8.436973831904979,32.14714029741788,38.51312958620487,-2.0
25,93.47257964331146,8.590996241991421,32.77059656521347,39.08456314076904,-2.0
26,92.15836815737721,9.567981675634398,31.106286121766292,37.10006308876679,-1.9
27,94.39318795003855,8.712899562531298,39.43585708269466,42.78078905247519,-4.7
28,95.06975688132366,8.902297641304639,40.379653698314264,43.659895014379806,-4.4
29,93.72995710554402,11.428963661961735,41.34206357907408,42.237165624037566,-4.2
30,94.69381684216475,9.122420785430313,41.60308005702556,44.02754029122271,-4.2
31,93.54871305659937,11.216138390530892,38.39763523888051,40.773878518342734,-4.1
32,93.92735395277106,11.304657224932638,37.92646003051164,40.98716350796394,-4.0
33,94.18238923959532,11.272522112610623,36.94369622631192,40.736130943403246,-3.9
34,94.94150462219123,9.703083645927371,41.67230757985769,43.92200840179806,-3.9
35,94.05551604070008,12.35211118824118,38.0960276339284,40.6447776695792,-3.8
36,94.49194143981197,8.868839527094924,39.85401928396503,42.98679645016152,-4.7
37,93.32242422043414,11.166327056466818,42.355173636798504,42.513606456107226,-4.6
38,92.81202129658902,6.559511937959907,45.64528661098095,45.612818188478975,-4.5
39,94.36222772778811,8.076792380708216,42.73342470023382,44.73451283325405,-4.3
40,94.01146599668522,9.994731918340626,40.20939954460671,42.394707285338384,-4.3
41,94.62297016080353,8.92095621112491,41.863258316920565,44.159769229253826,-4.3
42,93.55781548025779,10.4892545900537,41.450726627507784,42.472275040257,-4.2
43,92.77906750799998,6.7796496560469794,45.32754564379887,45.480100023448244,-4.0
44,93.70961447495971,7.989576591785323,41.53913303922518,43.545698384133246,-4.0
45,93.2001707174436,17.17485798182121,3.220353882883246,36.976739172852206,-0.0
46,103.30664781904781,14.242604360781863,2.5187562570408346,47.01597848047184,-0.0
47,100.16921155111463,5.269324913482155,6.136306606135862,45.618732320960305,-0.0
48,100.24217702834876,13.579920815666746,4.479033226039256,43.52125383785545,-0.0
49,102.12302666491406,16.03826979300536,-0.44244838061261554,46.58368486058694,-0.0
50,106.89014151954923,13.804037979496442,6.747464089798228,48.97893714406128,-0.0
51,97.98232487473608,17.476517014421873,3.80422604758382,40.843729798552225,-0.0
52,100.98202005273092,14.879762263771068,3.8890512056732973,44.12687346892886,-0.0
53,101.0932860131324,14.632560494414589,6.1282930975108725,43.60966242430575,-0.0
54,94.014669901422,18.83775096620798,-5.5982765978326094,41.6018642719862,-0.0
55,104.07151209475487,23.628099345698047,-3.1442452446417244,48.985773312258736,-0.0
56,97.89986724503356,29.735802526027776,-5.251664793818298,44.98063485069356,-0.0
57,97.18652858212127,19.109924708743474,-8.188962304762258,45.872862017391796,-0.0
58,97.73471064347841,24.934639869581382,0.010430772144385961,42.12300502383579,-0.0
59,102.81067955571636,18.230386096454588,-7.069334533737889,49.914164044268,-0.0
60,97.90971283933155,19.512540157425,-10.786155750589614,47.73800261496774,-0.0
61,98.15976419238484,17.355360412866748,-8.531464945471216,47.0026802893298,-0.0
62,100.70800567431053,17.715576042097812,-4.774445136442365,47.0018998612974,-0.0
63,103.2513705270446,20.49114730430419,19.692516848212016,43.32283730650284,-0.0
64,97.43689045792448,25.788405045102987,22.27471660204761,37.27829740772837,-0.0
65,96.94309787044975,24.703037613038102,20.6383935690182,36.69016168506471,-0.0
66,104.29697632903614,20.506550423690303,14.894361888115057,44.5192801636068,-0.0
67,102.69997893480122,19.40250169342138,13.566305244228918,43.1420328157609,-0.0
68,96.88412214396965,21.974171001702302,17.299343206706048,36.703048210637505,-0.0
69,97.84028420546436,24.393537245674473,21.162630044369706,37.81704232536034,-0.0
